iter	Passed	Remaining
0	1	120
1	1	88
2	2	85
3	3	77
4	3	75
5	4	74
6	5	75
7	6	76
8	7	74
9	8	73
10	8	72
11	9	70
12	10	68
13	10	66
14	11	64
15	11	62
16	12	61
17	13	59
18	13	58
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	17	51
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	22	46
32	23	47
33	24	46
34	24	45
35	25	45
36	25	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	72	0
99	73	0
