iter	Passed	Remaining
0	137	137630
1	139	69423
2	140	46652
3	141	35251
4	142	28443
5	143	23852
6	146	20760
7	148	18376
8	149	16475
9	150	14920
10	151	13640
11	153	12610
12	155	11776
13	156	11015
14	157	10354
15	158	9756
16	159	9247
17	161	8796
18	162	8407
19	164	8046
20	165	7720
21	166	7416
22	168	7140
23	169	6901
24	170	6664
25	171	6440
26	173	6237
27	174	6050
28	175	5887
29	177	5732
30	178	5577
31	179	5437
32	180	5298
33	182	5174
34	183	5064
35	184	4952
36	186	4851
37	187	4751
38	189	4658
39	190	4571
40	191	4486
41	192	4399
42	194	4322
43	195	4240
44	196	4160
45	197	4086
46	198	4017
47	199	3951
48	200	3892
49	202	3851
50	204	3797
51	205	3742
52	206	3685
53	207	3631
54	208	3583
55	209	3536
56	210	3489
57	211	3441
58	213	3400
59	214	3362
60	215	3323
61	217	3292
62	218	3254
63	219	3214
64	220	3175
65	222	3144
66	223	3111
67	224	3078
68	225	3048
69	227	3018
70	228	2989
71	229	2961
72	230	2932
73	232	2909
74	233	2883
75	235	2858
76	236	2828
77	237	2804
78	238	2781
79	239	2758
80	241	2736
81	242	2711
82	242	2684
83	244	2662
84	245	2639
85	246	2620
86	247	2599
87	249	2581
88	250	2561
89	251	2540
90	252	2521
91	253	2500
92	254	2484
93	255	2465
94	256	2447
95	258	2432
96	259	2413
97	260	2396
98	261	2379
99	262	2365
100	264	2350
101	265	2335
102	266	2321
103	267	2306
104	268	2291
105	270	2279
106	271	2268
107	273	2254
108	274	2240
109	275	2226
110	276	2215
111	277	2203
112	279	2190
113	280	2178
114	281	2165
115	282	2152
116	283	2141
117	285	2131
118	286	2118
119	287	2108
120	288	2096
121	289	2083
122	290	2072
123	292	2064
124	293	2055
125	294	2045
126	295	2033
127	297	2023
128	298	2014
129	299	2007
130	301	1997
131	302	1987
132	303	1977
133	304	1965
134	305	1955
135	306	1946
136	307	1937
137	308	1926
138	309	1915
139	310	1904
140	310	1893
141	311	1881
142	312	1871
143	313	1862
144	314	1853
145	315	1847
146	316	1838
147	317	1828
148	318	1818
149	319	1809
150	320	1799
151	321	1790
152	322	1783
153	323	1774
154	323	1765
155	324	1757
156	325	1748
157	326	1739
158	327	1731
159	328	1722
160	328	1713
161	330	1707
162	330	1699
163	331	1691
164	332	1683
165	333	1675
166	334	1667
167	335	1659
168	335	1652
169	337	1647
170	338	1642
171	340	1636
172	341	1632
173	342	1627
174	344	1622
175	345	1616
